NomerMSKS,ZavNomer,Zakaz,ModulCSE,NoteCSE,NameCSE,VerSP,VerTP,VerTpUtv,ShtrihCod,NomerOpTP,CehNumber,CehSector,OperName,EtapNumber,NomerKT,Master,DataMaster,DateMasterTCS,RabOTK,DataOTK,DateOTKTCS,DataPred,DateIzgotovl
925-20-1012,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117942,1,925,76,Комплектование,,,,,,,,,,
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117943,6,925,76,Контроль,1,1,Гусева А.Н.,03.02.2020,2020-02-03 10:44:39.000,Ананьев Н.С.,07.02.2020,2020-02-03 10:44:39.000,,
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117944,11,925,76,Сборочно-монтажная,1,,,,,,,,,
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117945,16,925,76,Контроль,1,,,,,,,,,
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117946,21,925,76,Сборочно-монтажная,1,,,,,,,,,
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117947,26,925,76,Контроль,1,,,,,,,,,
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117948,31,925,76,Окрашивание распылением аэрозольным,1,,,,,,,,,
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117949,36,925,76,Контроль,1,2,Гусева А.Н.,07.02.2020,2020-02-07 08:56:31.000,Ананьев Н.С.,07.02.2020,2020-02-07 08:56:31.000,,
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117950,41,923,61,Разметка,2,3,Григорьева И.В.,03.02.2020,2020-02-03 10:45:13.000,Лукьянов М.Н.,03.02.2020,2020-02-03 10:45:13.000,,
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117951,46,923,61,Слесарная,2,,,,,,,,,
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117952,51,923,61,Контроль,2,4,Григорьева И.В.,03.02.2020,2020-02-03 10:45:19.000,Лукьянов М.Н.,03.02.2020,2020-02-03 10:45:19.000,,
